mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
mp-1111079,K3Sc1F6,Sc,-5.370342215,-3.53428824,6.1606,FALSE,0,1.98573,624.45648
mvc-3736,Mg4V4F20,V,-5.748006978,-3.429209698,2.5362,FALSE,0,1.98577,624.44383
mp-1114381,Rb3Y1F6,Y,-5.334554913,-3.524060199,5.8963,FALSE,0,1.98588,624.40966
mp-1205998,Rb3Tm1F6,Tm,-5.178584786,-3.567153641,5.9785,FALSE,0,1.98588,624.40966
mp-1206146,Rb3Dy1F6,Dy,-5.162004707,-3.537478421,5.906,FALSE,0,1.98588,624.40966
mp-1206448,Rb3Er1F6,Er,-5.173346537,-3.552727054,5.9394,FALSE,0,1.98588,624.40966
mp-3970,K2Ti1F6,Ti,-5.630879876,-3.540528352,4.7348,TRUE,"[24659, 174003, 280318]",1.98591,624.40033
mp-1211665,K6Lu2F12,K,-5.293543491,-3.638641374,6.7229,FALSE,0,1.98599,624.37466
mp-1211695,K6Er2F12,K,-5.277890884,-3.618311938,6.7433,FALSE,0,1.98599,624.37466
mp-1097061,Ca1Tl1F3,Ca,-5.04652567,-3.303189684,4.8393,FALSE,0,1.986,624.37143
mp-998150,Ca1Tl1F3,Ca,-5.04646661,-3.303130624,4.8398,FALSE,0,1.986,624.37143
mp-1205844,K3Tm1F6,Tm,-5.219053823,-3.568663216,6.0112,FALSE,0,1.98618,624.31481
mp-1206189,K3Er1F6,Er,-5.213535835,-3.553956889,5.9116,FALSE,0,1.98618,624.31481
mp-1206658,K3Ho1F6,Ho,-5.205642512,-3.54459456,6.0044,FALSE,0,1.98618,624.31481
mp-1211650,K3Dy1F6,Dy,-5.200353913,-3.536868164,5.9154,FALSE,0,1.98618,624.31481
mp-1205530,Rb3Gd1F6,Gd,-6.029082744,-3.457622918,4.3543,FALSE,0,1.98641,624.24237
mp-1205532,Rb3Gd1F6,Gd,-6.062619255,-3.491159429,4.5696,FALSE,0,1.98641,624.24237
mp-1205721,Rb3Pr1F6,Pr,-5.063044847,-3.42110733,4.8275,FALSE,0,1.98641,624.24237
mp-1205612,Rb3Sm1F6,Sm,-5.125559759,-3.489853543,5.6869,FALSE,0,1.98641,624.24237
mp-1205725,Rb3Pr1F6,Pr,-5.089629734,-3.447692217,5.5085,FALSE,0,1.98641,624.24237
mp-1206005,Rb3Ho1F6,Ho,-5.129714091,-3.507625602,5.1981,FALSE,0,1.98641,624.24237
mp-998615,Ca2Tl2F6,Ca,-5.053347003,-3.310011017,4.6512,FALSE,0,1.98669,624.15256
mvc-10625,Ba4Ca4V4F28,V,-5.943045838,-3.797562883,2.3931,FALSE,0,1.98709,624.0283
mp-1206641,K1Tl2Ga1F6,K,-4.402187317,-2.64612181,4.7739,FALSE,0,1.98728,623.96703
mp-777566,Li4V4F16,V,-5.703327635,-3.188203501,2.171,FALSE,0,1.98732,623.95473
mp-1113960,K1Na2Ga1F6,K,-4.424728767,-2.876686831,4.9498,FALSE,0,1.98777,623.81358
mp-755904,Li4V4F16,V,-5.689006984,-3.173882849,2.3692,FALSE,0,1.98778,623.81091
mp-777681,Li6V2F12,V,-5.359008674,-3.178253826,2.515,FALSE,0,1.98808,623.71848
mp-1211838,K3Rh1F6,Rh,-4.521014919,-2.581777067,2.0571,FALSE,0,1.9881,623.71084
mp-1211654,K6Dy2F12,K,-5.269430192,-3.605944443,6.6673,FALSE,0,1.98814,623.69846
mvc-10059,Ba6W6F33,W,-5.623207592,-3.168376709,2.8534,FALSE,0,1.98815,623.69441
mvc-6209,Y2Sn6F30,Y,-5.076219205,-2.958462826,2.3359,FALSE,0,1.9882,623.67828
mp-1236924,K3Rh1F6,Rh,-4.520274355,-2.581036503,2.0825,FALSE,0,1.98843,623.60711
mp-1111758,Na2Sc1Ag1F6,Sc,-5.052918485,-3.002223535,2.0718,FALSE,0,1.98873,623.51378
mp-1112447,K2Sc1Ag1F6,Sc,-5.186896453,-3.178626772,3.0581,FALSE,0,1.98905,623.41207
mvc-10590,Ba4Mg4V4F28,V,-5.805633216,-3.700682244,2.4223,FALSE,0,1.98938,623.3086
mvc-10612,Ba4V4Zn4F28,V,-5.409699389,-3.33880206,2.3929,FALSE,0,1.98938,623.3086
mp-1111297,K3Y1F6,Y,-5.372609029,-3.523154853,5.9044,FALSE,0,1.98959,623.24428
mp-1205731,K3Sm1F6,Sm,-5.160494858,-3.48582918,5.7545,FALSE,0,1.98959,623.24428
mp-778080,Ba2Y6F22,Y,-6.812656434,-4.32847958,5.8515,FALSE,0,1.98983,623.1687
mp-1111375,K3Pr1F6,Pr,-5.122136872,-3.441239893,5.5495,FALSE,0,1.99012,623.07762
mp-1111389,K3Nd1F6,Nd,-5.137238073,-3.457616687,5.6293,FALSE,0,1.99012,623.07762
mp-1205544,K3Dy1F6,Dy,-5.165905571,-3.502419822,5.1461,FALSE,0,1.99012,623.07762
mp-759464,Li12V4F24,V,-5.386732441,-3.205977594,2.4736,FALSE,0,1.9903,623.0218
mvc-3739,Ca4W4F20,W,-5.799278505,-3.260261192,3.2176,FALSE,0,1.99033,623.01333
mp-1210039,Na4Sr4V4F24,V,-5.659291593,-3.537869524,2.5448,FALSE,0,1.99045,622.97458
mp-1111962,K2Pr1Ag1F6,Pr,-4.936421493,-3.083308808,2.5595,FALSE,0,1.99046,622.97202
mp-1112441,K2Y1Ag1F6,Y,-5.186947641,-3.165277759,2.6607,FALSE,0,1.99046,622.97202
mp-1112454,K2Nd1Ag1F6,Nd,-4.951741171,-3.09990408,2.6065,FALSE,0,1.99046,622.97202
mp-1111119,K2Y1In1F6,Y,-5.275884419,-3.262301765,3.384,FALSE,0,1.99046,622.97202
mp-1111122,K2Y1Tl1F6,Y,-5.264548546,-3.28986995,4.411,FALSE,0,1.99046,622.97202
mp-759858,Li2V1F4,V,-5.431367839,-3.002843885,2.7037,FALSE,0,1.99071,622.8936
mp-767661,Li8V4F20,V,-5.47146548,-3.16532215,2.3638,FALSE,0,1.99071,622.89281
mp-1211650,K3Dy1F6,K,-5.200353913,-3.536868164,5.9154,FALSE,0,1.99085,622.8481
mp-8414,K2Hf1F6,Hf,-6.01706347,-3.69763452,6.8994,TRUE,[47244],1.99094,622.82215
mp-1114373,Rb2Y1Tl1F6,Y,-5.276164308,-3.327458687,4.7165,FALSE,0,1.99156,622.62593
mp-7012,K2Rb4Y2F12,K,-5.411164483,-3.587683281,6.6263,TRUE,[73472],1.99197,622.49804
mp-1111026,K1Na2Sc1F6,K,-5.226633928,-3.348154684,5.0397,FALSE,0,1.99209,622.46298
mp-1205753,K3Yb1F6,Yb,-4.428280618,-3.071512725,6.0621,FALSE,0,1.99259,622.30469
mp-1205752,Rb3Yb1F6,Yb,-4.395059957,-3.077251527,5.9958,FALSE,0,1.99311,622.14196
mp-1111058,K1Na2Rh1F6,K,-4.403726016,-2.422062895,2.2856,FALSE,0,1.9933,622.08296
mp-1113961,K1Na2As1F6,K,-4.284244489,-2.573100315,3.086,FALSE,0,1.99337,622.06123
mp-1113958,K1Na2Mo1F6,K,-4.751489467,-2.74189283,2.0919,FALSE,0,1.99393,621.88812
mp-1205796,Rb3Eu1F6,Eu,-5.44962407,-3.25657212,3.9529,FALSE,0,1.99395,621.88104
mp-1206108,Rb3Nd1F6,Nd,-5.075465005,-3.434803082,4.8802,FALSE,0,1.99395,621.88104
mp-1205613,Rb3Sm1F6,Sm,-5.093903635,-3.458197419,4.9731,FALSE,0,1.99395,621.88104
mp-1206106,Rb3Nd1F6,Nd,-5.103842317,-3.463180394,5.5767,FALSE,0,1.99395,621.88104
mp-1211731,K10Sc6F28,Sc,-5.805008278,-3.76673066,6.2149,FALSE,0,1.99458,621.68482
mp-778387,Ba10Y6F38,Y,-6.31533162,-4.221466143,6.307,FALSE,0,1.99493,621.57651
mp-1114397,Rb2Y1In1F6,Y,-5.283520917,-3.295911238,3.7145,FALSE,0,1.99509,621.52617
mp-17999,Na4V4F16,V,-5.599734735,-3.182343529,2.0363,TRUE,[407013],1.99521,621.48724
mp-560959,K1Tl2Mo1F6,K,-4.757925662,-2.540305454,2.5946,TRUE,[15775],1.99558,621.37295
mp-778072,Ba4Y10F38,Y,-6.742511955,-4.292112047,6.1194,FALSE,0,1.99578,621.31059
mp-1205729,K3Sm1F6,Sm,-5.132430229,-3.457764551,4.9524,FALSE,0,1.99654,621.07544
mp-1114684,Rb2Sc1Tl1F6,Sc,-5.26384068,-3.32853526,4.9932,FALSE,0,1.99723,620.86132
